('class', 'amphibia', 'order', 'anura')
('family', 'colubridae', 'genus', 'coluber')
('family', 'colubridae', 'genus', 'coniophanes')
('family', 'colubridae', 'genus', 'contia')
('family', 'colubridae', 'genus', 'diadophis')
('family', 'colubridae', 'genus', 'drymarchon')
('family', 'colubridae', 'genus', 'drymobius')
('family', 'colubridae', 'genus', 'elaphe')
('family', 'colubridae', 'genus', 'farancia')
('family', 'colubridae', 'genus', 'ficimia')
('family', 'colubridae', 'genus', 'gyalopion')
('family', 'colubridae', 'genus', 'heterodon')
('family', 'colubridae', 'genus', 'hypsiglena')
('family', 'colubridae', 'genus', 'lampropeltis')
('family', 'colubridae', 'genus', 'leptodeira')
('family', 'colubridae', 'genus', 'liochlorophis')
('family', 'colubridae', 'genus', 'magliophis')
('family', 'colubridae', 'genus', 'masticophis')
('family', 'colubridae', 'genus', 'nerodia')
('family', 'colubridae', 'genus', 'opheodrys')
('family', 'colubridae', 'genus', 'oxybelis')
('family', 'colubridae', 'genus', 'pantherophis')
('family', 'colubridae', 'genus', 'phyllorhynchus')
('family', 'colubridae', 'genus', 'pituophis')
('family', 'colubridae', 'genus', 'regina')
('family', 'colubridae', 'genus', 'rhadinaea')
('family', 'colubridae', 'genus', 'rhinocheilus')
('family', 'colubridae', 'genus', 'salvadora')
('family', 'colubridae', 'genus', 'seminatrix')
('family', 'colubridae', 'genus', 'senticolis')
('family', 'colubridae', 'genus', 'sonora')
('family', 'colubridae', 'genus', 'stilosoma')
('family', 'colubridae', 'genus', 'storeria')
('family', 'colubridae', 'genus', 'tantilla')
('family', 'colubridae', 'genus', 'thamnophis')
('family', 'colubridae', 'genus', 'trimorphodon')
('family', 'colubridae', 'genus', 'tropidoclonion')
('family', 'colubridae', 'genus', 'virginia')
('family', 'corytophanidae', 'genus', 'basiliscus')
('family', 'craugastoridae', 'genus', 'craugastor')
('family', 'crocodylidae', 'genus', 'crocodylus')
('family', 'crotaphytidae', 'genus', 'crotaphytus')
('family', 'crotaphytidae', 'genus', 'gambelia')
('family', 'cryptobranchidae', 'genus', 'cryptobranchus')
('family', 'dendrobatidae', 'genus', 'dendrobates')
('family', 'elapidae', 'genus', 'micruroides')
('family', 'elapidae', 'genus', 'micrurus')
('family', 'elapidae', 'genus', 'pelamis')
('family', 'eleutherodactylidae', 'genus', 'eleutherodactylus')
('family', 'emydidae', 'genus', 'actinemys')
('family', 'emydidae', 'genus', 'chrysemys')
('family', 'emydidae', 'genus', 'clemmys')
('family', 'emydidae', 'genus', 'deirochelys')
('family', 'emydidae', 'genus', 'emydoidea')
('family', 'emydidae', 'genus', 'glyptemys')
('family', 'emydidae', 'genus', 'graptemys')
('family', 'emydidae', 'genus', 'malaclemys')
('family', 'emydidae', 'genus', 'pseudemys')
('family', 'emydidae', 'genus', 'terrapene')
('family', 'emydidae', 'genus', 'trachemys')
('family', 'eublepharidae', 'genus', 'coleonyx')
('family', 'gekkonidae', 'genus', 'chondrodactylus')
('family', 'gekkonidae', 'genus', 'cyrtopodion')
('family', 'gekkonidae', 'genus', 'gehyra')
('family', 'gekkonidae', 'genus', 'gekko')
('family', 'gekkonidae', 'genus', 'hemidactylus')
('family', 'gekkonidae', 'genus', 'hemiphyllodactylus')
('family', 'gekkonidae', 'genus', 'lepidodactylus')
('family', 'gekkonidae', 'genus', 'phelsuma')
('family', 'geoemydidae', 'genus', 'cuora')
('family', 'helodermatidae', 'genus', 'heloderma')
('family', 'hylidae', 'genus', 'acris')
('family', 'hylidae', 'genus', 'hyla')
('family', 'hylidae', 'genus', 'limnaoedus')
('family', 'hylidae', 'genus', 'osteopilus')
('family', 'hylidae', 'genus', 'pseudacris')
('family', 'hylidae', 'genus', 'scinax')
('family', 'hylidae', 'genus', 'smilisca')
('family', 'iguanidae', 'genus', 'ctenosaura')
('family', 'iguanidae', 'genus', 'cyclura')
('family', 'iguanidae', 'genus', 'dipsosaurus')
('family', 'iguanidae', 'genus', 'iguana')
('family', 'iguanidae', 'genus', 'sauromalus')
('family', 'kinosternidae', 'genus', 'kinosternon')
('family', 'kinosternidae', 'genus', 'sternotherus')
('family', 'lacertidae', 'genus', 'lacerta')
('family', 'lacertidae', 'genus', 'podarcis')
('family', 'leiopelmatidae', 'genus', 'ascaphus')
('family', 'leptodactylidae', 'genus', 'leptodactylus')
('family', 'leptotyphlopidae', 'genus', 'leptotyphlops')
('family', 'leptotyphlopidae', 'genus', 'rena')
('family', 'microhylidae', 'genus', 'gastrophryne')
('family', 'microhylidae', 'genus', 'hypopachus')
('family', 'phrynosomatidae', 'genus', 'callisaurus')
('family', 'phrynosomatidae', 'genus', 'cophosaurus')
('family', 'phrynosomatidae', 'genus', 'holbrookia')
('family', 'phrynosomatidae', 'genus', 'petrosaurus')
('family', 'phrynosomatidae', 'genus', 'phrynosoma')
('family', 'phrynosomatidae', 'genus', 'sceloporus')
('family', 'phrynosomatidae', 'genus', 'uma')
('family', 'phrynosomatidae', 'genus', 'urosaurus')
('family', 'phrynosomatidae', 'genus', 'uta')
('family', 'phyllodactylidae', 'genus', 'phyllodactylus')
('family', 'phyllodactylidae', 'genus', 'tarentola')
('family', 'phyllodactylidae', 'genus', 'thecadactylus')
('family', 'pipidae', 'genus', 'xenopus')
('family', 'plethodontidae', 'genus', 'aneides')
('family', 'plethodontidae', 'genus', 'batrachoseps')
('family', 'plethodontidae', 'genus', 'desmognathus')
('family', 'plethodontidae', 'genus', 'ensatina')
('family', 'plethodontidae', 'genus', 'eurycea')
('family', 'plethodontidae', 'genus', 'gyrinophilus')
('family', 'plethodontidae', 'genus', 'haideotriton')
('family', 'plethodontidae', 'genus', 'hemidactylium')
('family', 'plethodontidae', 'genus', 'hydromantes')
('family', 'plethodontidae', 'genus', 'phaeognathus')
('family', 'plethodontidae', 'genus', 'plethodon')
('family', 'plethodontidae', 'genus', 'pseudotriton')
('family', 'plethodontidae', 'genus', 'stereochilus')
('family', 'plethodontidae', 'genus', 'urspelerpes')
('family', 'polychrotidae', 'genus', 'anolis')
('family', 'proteidae', 'genus', 'necturus')
('family', 'pythonidae', 'genus', 'python')
('family', 'ranidae', 'genus', 'glandirana')
('family', 'ranidae', 'genus', 'lithobates')
('family', 'ranidae', 'genus', 'rana')
('family', 'rhineuridae', 'genus', 'rhineura')
('family', 'rhinophrynidae', 'genus', 'rhinophrynus')
('family', 'rhyacotritonidae', 'genus', 'rhyacotriton')
('family', 'salamandridae', 'genus', 'notophthalmus')
('family', 'salamandridae', 'genus', 'taricha')
('family', 'scaphiopodidae', 'genus', 'scaphiopus')
('family', 'scaphiopodidae', 'genus', 'spea')
('family', 'scincidae', 'genus', 'chalcides')
('family', 'scincidae', 'genus', 'cryptoblepharus')
('family', 'scincidae', 'genus', 'emoia')
('family', 'scincidae', 'genus', 'eumeces')
('family', 'scincidae', 'genus', 'lampropholis')
('family', 'scincidae', 'genus', 'lipinia')
('family', 'scincidae', 'genus', 'mabuya')
('family', 'scincidae', 'genus', 'neoseps')
('family', 'scincidae', 'genus', 'plestiodon')
('family', 'scincidae', 'genus', 'scincella')
('family', 'scincidae', 'genus', 'spondylurus')
('family', 'scincidae', 'genus', 'trachylepis')
('family', 'sirenidae', 'genus', 'pseudobranchus')
('family', 'sirenidae', 'genus', 'siren')
('family', 'sphaerodactylidae', 'genus', 'gonatodes')
('family', 'sphaerodactylidae', 'genus', 'sphaerodactylus')
('family', 'teiidae', 'genus', 'ameiva')
('family', 'teiidae', 'genus', 'aspidoscelis')
('family', 'teiidae', 'genus', 'cnemidophorus')
('family', 'teiidae', 'genus', 'tupinambis')
('family', 'testudinidae', 'genus', 'chelonoidis')
('family', 'testudinidae', 'genus', 'gopherus')
('family', 'trionychidae', 'genus', 'apalone')
('family', 'trionychidae', 'genus', 'palea')
('family', 'trionychidae', 'genus', 'pelodiscus')
('family', 'trionychidae', 'genus', 'trionyx')
('family', 'tropiduridae', 'genus', 'leiocephalus')
('family', 'typhlopidae', 'genus', 'ramphotyphlops')
('family', 'typhlopidae', 'genus', 'typhlops')
('family', 'varanidae', 'genus', 'varanus')
('family', 'viperidae', 'genus', 'agkistrodon')
('family', 'viperidae', 'genus', 'crotalus')
('family', 'viperidae', 'genus', 'sistrurus')
('family', 'xantusiidae', 'genus', 'xantusia')
('genus', 'acris', 'species', 'acris blanchardi')
('genus', 'acris', 'species', 'acris crepitans')
('genus', 'acris', 'species', 'acris gryllus')
('genus', 'acrochordus', 'species', 'acrochordus javanicus')
('genus', 'actinemys', 'species', 'actinemys marmorata')
('genus', 'agama', 'species', 'agama agama')
('genus', 'agkistrodon', 'species', 'agkistrodon contortrix')
('genus', 'agkistrodon', 'species', 'agkistrodon piscivorus')
('genus', 'alligator', 'species', 'alligator mississippiensis')
('genus', 'ambystoma', 'species', 'ambystoma annulatum')
('genus', 'ambystoma', 'species', 'ambystoma barbouri')
('genus', 'ambystoma', 'species', 'ambystoma bishopi')
('genus', 'ambystoma', 'species', 'ambystoma californiense')
('genus', 'ambystoma', 'species', 'ambystoma cingulatum')
('genus', 'ambystoma', 'species', 'ambystoma gracile')
('genus', 'ambystoma', 'species', 'ambystoma jeffersonianum')
('genus', 'ambystoma', 'species', 'ambystoma laterale')
('genus', 'ambystoma', 'species', 'ambystoma mabeei')
('genus', 'ambystoma', 'species', 'ambystoma macrodactylum')
('genus', 'ambystoma', 'species', 'ambystoma maculatum')
('genus', 'ambystoma', 'species', 'ambystoma mavortium')
('genus', 'ambystoma', 'species', 'ambystoma opacum')
('genus', 'ambystoma', 'species', 'ambystoma talpoideum')
('genus', 'ambystoma', 'species', 'ambystoma texanum')
('genus', 'ambystoma', 'species', 'ambystoma tigrinum')
('genus', 'ameiva', 'species', 'ameiva ameiva')
('genus', 'ameiva', 'species', 'ameiva exsul')
('genus', 'ameiva', 'species', 'ameiva praesignis')
('genus', 'ameiva', 'species', 'ameiva wetmorei')
('genus', 'amphisbaena', 'species', 'amphisbaena bakeri')
('genus', 'amphisbaena', 'species', 'amphisbaena caeca')
('genus', 'amphisbaena', 'species', 'amphisbaena schmidti')
('genus', 'amphisbaena', 'species', 'amphisbaena xera')
('genus', 'amphiuma', 'species', 'amphiuma means')
('genus', 'amphiuma', 'species', 'amphiuma pholeter')
('genus', 'amphiuma', 'species', 'amphiuma tridactylum')
('genus', 'anaxyrus', 'species', 'anaxyrus americanus')
('genus', 'anaxyrus', 'species', 'anaxyrus baxteri')
('genus', 'anaxyrus', 'species', 'anaxyrus boreas')
('genus', 'anaxyrus', 'species', 'anaxyrus californicus')
('genus', 'anaxyrus', 'species', 'anaxyrus canorus')
('genus', 'anaxyrus', 'species', 'anaxyrus cognatus')
('genus', 'anaxyrus', 'species', 'anaxyrus debilis')
('genus', 'anaxyrus', 'species', 'anaxyrus exsul')
('genus', 'anaxyrus', 'species', 'anaxyrus fowleri')
('genus', 'anaxyrus', 'species', 'anaxyrus hemiophrys')
('genus', 'anaxyrus', 'species', 'anaxyrus houstonensis')
('genus', 'anaxyrus', 'species', 'anaxyrus microscaphus')
('genus', 'anaxyrus', 'species', 'anaxyrus nelsoni')
('genus', 'anaxyrus', 'species', 'anaxyrus punctatus')
('genus', 'anaxyrus', 'species', 'anaxyrus quercicus')
('genus', 'anaxyrus', 'species', 'anaxyrus retiformis')
('genus', 'anaxyrus', 'species', 'anaxyrus speciosus')
('genus', 'anaxyrus', 'species', 'anaxyrus terrestris')
('genus', 'anaxyrus', 'species', 'anaxyrus woodhousii')
('genus', 'aneides', 'species', 'aneides aeneus')
('genus', 'aneides', 'species', 'aneides ferreus')
('genus', 'aneides', 'species', 'aneides flavipunctatus')
('genus', 'aneides', 'species', 'aneides hardii')
('genus', 'aneides', 'species', 'aneides lugubris')
('genus', 'aneides', 'species', 'aneides vagrans')
('genus', 'anniella', 'species', 'anniella pulchra')
('genus', 'anolis', 'species', 'anolis carolinensis')
('genus', 'anolis', 'species', 'anolis chlorocyanus')
('genus', 'anolis', 'species', 'anolis cooki')
('genus', 'anolis', 'species', 'anolis cristatellus')
('genus', 'anolis', 'species', 'anolis cuvieri')
('genus', 'anolis', 'species', 'anolis cybotes')
('genus', 'anolis', 'species', 'anolis distichus')
('genus', 'anolis', 'species', 'anolis equestris')
('genus', 'anolis', 'species', 'anolis evermanni')
('genus', 'anolis', 'species', 'anolis garmani')
('genus', 'anolis', 'species', 'anolis gundlachi')
('genus', 'anolis', 'species', 'anolis krugi')
('genus', 'anolis', 'species', 'anolis monensis')
('genus', 'anolis', 'species', 'anolis occultus')
('genus', 'anolis', 'species', 'anolis poncensis')
('genus', 'anolis', 'species', 'anolis porcatus')
('genus', 'anolis', 'species', 'anolis pulchellus')
('genus', 'anolis', 'species', 'anolis roosevelti')
('genus', 'anolis', 'species', 'anolis sagrei')
('genus', 'anolis', 'species', 'anolis stratulus')
('genus', 'anolis', 'species', 'anolis trinitatis')
('genus', 'apalone', 'species', 'apalone ferox')
('genus', 'apalone', 'species', 'apalone mutica')
('genus', 'apalone', 'species', 'apalone spinifera')
('genus', 'arizona', 'species', 'arizona elegans')
('genus', 'ascaphus', 'species', 'ascaphus montanus')
('genus', 'ascaphus', 'species', 'ascaphus truei')
('genus', 'aspidoscelis', 'species', 'aspidoscelis arizonae')
('genus', 'aspidoscelis', 'species', 'aspidoscelis exsanguis')
('genus', 'aspidoscelis', 'species', 'aspidoscelis flagellicauda')
('genus', 'aspidoscelis', 'species', 'aspidoscelis gularis')
('genus', 'aspidoscelis', 'species', 'aspidoscelis hyperythra')
('genus', 'aspidoscelis', 'species', 'aspidoscelis inornata')
('genus', 'aspidoscelis', 'species', 'aspidoscelis laredoensis')
('genus', 'aspidoscelis', 'species', 'aspidoscelis marmorata')
('genus', 'aspidoscelis', 'species', 'aspidoscelis motaguae')
('genus', 'aspidoscelis', 'species', 'aspidoscelis neomexicana')
('genus', 'aspidoscelis', 'species', 'aspidoscelis neotesselata')
('genus', 'aspidoscelis', 'species', 'aspidoscelis pai')
('genus', 'aspidoscelis', 'species', 'aspidoscelis scalaris')
('genus', 'aspidoscelis', 'species', 'aspidoscelis sexlineata')
('genus', 'aspidoscelis', 'species', 'aspidoscelis sonorae')
('genus', 'aspidoscelis', 'species', 'aspidoscelis stictogramma')
('genus', 'aspidoscelis', 'species', 'aspidoscelis tesselata')
('genus', 'aspidoscelis', 'species', 'aspidoscelis tigris')
('genus', 'aspidoscelis', 'species', 'aspidoscelis uniparens')
('genus', 'aspidoscelis', 'species', 'aspidoscelis velox')
('genus', 'aspidoscelis', 'species', 'aspidoscelis xanthonota')
('genus', 'basiliscus', 'species', 'basiliscus vittatus')
('genus', 'batrachoseps', 'species', 'batrachoseps altasierrae')
('genus', 'batrachoseps', 'species', 'batrachoseps attenuatus')
('genus', 'batrachoseps', 'species', 'batrachoseps bramei')
('genus', 'batrachoseps', 'species', 'batrachoseps campi')
('genus', 'batrachoseps', 'species', 'batrachoseps diabolicus')
('genus', 'batrachoseps', 'species', 'batrachoseps gabrieli')
('genus', 'batrachoseps', 'species', 'batrachoseps gavilanensis')
('genus', 'batrachoseps', 'species', 'batrachoseps gregarius')
('genus', 'batrachoseps', 'species', 'batrachoseps incognitus')
('genus', 'batrachoseps', 'species', 'batrachoseps kawia')
('genus', 'batrachoseps', 'species', 'batrachoseps luciae')
('genus', 'batrachoseps', 'species', 'batrachoseps major')
('genus', 'batrachoseps', 'species', 'batrachoseps minor')
('genus', 'batrachoseps', 'species', 'batrachoseps nigriventris')
('genus', 'batrachoseps', 'species', 'batrachoseps pacificus')
('genus', 'batrachoseps', 'species', 'batrachoseps regius')
('genus', 'batrachoseps', 'species', 'batrachoseps relictus')
('genus', 'batrachoseps', 'species', 'batrachoseps robustus')
('genus', 'batrachoseps', 'species', 'batrachoseps simatus')
('genus', 'batrachoseps', 'species', 'batrachoseps stebbinsi')
('genus', 'batrachoseps', 'species', 'batrachoseps wrighti')
('genus', 'boa', 'species', 'boa constrictor')
('genus', 'bogertophis', 'species', 'bogertophis rosaliae')
('genus', 'bogertophis', 'species', 'bogertophis subocularis')
('genus', 'borikenophis', 'species', 'borikenophis portoricensis')
('genus', 'borikenophis', 'species', 'borikenophis variegatus')
('genus', 'caiman', 'species', 'caiman crocodilus')
('genus', 'callisaurus', 'species', 'callisaurus draconoides')
('genus', 'calotes', 'species', 'calotes mystaceus')
('genus', 'calotes', 'species', 'calotes versicolor')
('genus', 'carphophis', 'species', 'carphophis amoenus')
('genus', 'carphophis', 'species', 'carphophis vermis')
('genus', 'cemophora', 'species', 'cemophora coccinea')
('genus', 'chalcides', 'species', 'chalcides ocellatus')
('genus', 'chamaeleo', 'species', 'chamaeleo calyptratus')
('genus', 'chamaeleo', 'species', 'chamaeleo jacksonii')
('genus', 'charina', 'species', 'charina bottae')
('genus', 'charina', 'species', 'charina umbratica')
('genus', 'chelonoidis', 'species', 'chelonoidis carbonaria')
('genus', 'chelydra', 'species', 'chelydra serpentina')
('genus', 'chilomeniscus', 'species', 'chilomeniscus stramineus')
('genus', 'chionactis', 'species', 'chionactis occipitalis')
('genus', 'chionactis', 'species', 'chionactis palarostris')
('genus', 'chondrodactylus', 'species', 'chondrodactylus bibronii')
('genus', 'chrysemys', 'species', 'chrysemys dorsalis')
('genus', 'chrysemys', 'species', 'chrysemys picta')
('genus', 'clemmys', 'species', 'clemmys guttata')
('genus', 'clonophis', 'species', 'clonophis kirtlandii')
('genus', 'cnemidophorus', 'species', 'cnemidophorus lemniscatus')
('genus', 'coleonyx', 'species', 'coleonyx brevis')
('genus', 'coleonyx', 'species', 'coleonyx reticulatus')
('genus', 'coleonyx', 'species', 'coleonyx switaki')
('genus', 'coleonyx', 'species', 'coleonyx variegatus')
('genus', 'coluber', 'species', 'coluber bilineatus')
('genus', 'coluber', 'species', 'coluber constrictor')
('genus', 'coluber', 'species', 'coluber flagellum')
('genus', 'coluber', 'species', 'coluber fuliginosus')
('genus', 'coluber', 'species', 'coluber lateralis')
('genus', 'coluber', 'species', 'coluber schotti')
('genus', 'coluber', 'species', 'coluber taeniatus')
('genus', 'coniophanes', 'species', 'coniophanes imperialis')
('genus', 'contia', 'species', 'contia longicauda')
('genus', 'contia', 'species', 'contia tenuis')
('genus', 'cophosaurus', 'species', 'cophosaurus texanus')
('genus', 'craugastor', 'species', 'craugastor augusti')
('genus', 'crocodylus', 'species', 'crocodylus acutus')
('genus', 'crotalus', 'species', 'crotalus adamanteus')
('genus', 'crotalus', 'species', 'crotalus atrox')
('genus', 'crotalus', 'species', 'crotalus cerastes')
('genus', 'crotalus', 'species', 'crotalus cerberus')
('genus', 'crotalus', 'species', 'crotalus horridus')
('genus', 'crotalus', 'species', 'crotalus lepidus')
('genus', 'crotalus', 'species', 'crotalus mitchellii')
('genus', 'crotalus', 'species', 'crotalus molossus')
('genus', 'crotalus', 'species', 'crotalus oreganus')
('genus', 'crotalus', 'species', 'crotalus pricei')
('genus', 'crotalus', 'species', 'crotalus ruber')
('genus', 'crotalus', 'species', 'crotalus scutulatus')
('genus', 'crotalus', 'species', 'crotalus stephensi')
('genus', 'crotalus', 'species', 'crotalus tigris')
('genus', 'crotalus', 'species', 'crotalus viridis')
('genus', 'crotalus', 'species', 'crotalus willardi')
('genus', 'crotaphytus', 'species', 'crotaphytus bicinctores')
('genus', 'crotaphytus', 'species', 'crotaphytus collaris')
('genus', 'crotaphytus', 'species', 'crotaphytus nebrius')
('genus', 'crotaphytus', 'species', 'crotaphytus reticulatus')
('genus', 'crotaphytus', 'species', 'crotaphytus vestigium')
('genus', 'cryptoblepharus', 'species', 'cryptoblepharus poecilopleurus')
('genus', 'cryptobranchus', 'species', 'cryptobranchus alleganiensis')
('genus', 'ctenosaura', 'species', 'ctenosaura conspicuosa')
('genus', 'ctenosaura', 'species', 'ctenosaura macrolopha')
('genus', 'ctenosaura', 'species', 'ctenosaura pectinata')
('genus', 'ctenosaura', 'species', 'ctenosaura similis')
('genus', 'cuora', 'species', 'cuora trifasciata')
('genus', 'cyclura', 'species', 'cyclura nubila')
('genus', 'cyclura', 'species', 'cyclura stejnegeri')
('genus', 'cyrtopodion', 'species', 'cyrtopodion scabrum')
('genus', 'deirochelys', 'species', 'deirochelys reticularia')
('genus', 'dendrobates', 'species', 'dendrobates auratus')
('genus', 'desmognathus', 'species', 'desmognathus abditus')
('genus', 'desmognathus', 'species', 'desmognathus aeneus')
('genus', 'desmognathus', 'species', 'desmognathus apalachicolae')
('genus', 'desmognathus', 'species', 'desmognathus auriculatus')
('genus', 'desmognathus', 'species', 'desmognathus brimleyorum')
('genus', 'desmognathus', 'species', 'desmognathus carolinensis')
('genus', 'desmognathus', 'species', 'desmognathus conanti')
('genus', 'desmognathus', 'species', 'desmognathus folkertsi')
('genus', 'desmognathus', 'species', 'desmognathus fuscus')
('genus', 'desmognathus', 'species', 'desmognathus imitator')
('genus', 'desmognathus', 'species', 'desmognathus marmoratus')
('genus', 'desmognathus', 'species', 'desmognathus monticola')
('genus', 'desmognathus', 'species', 'desmognathus ochrophaeus')
('genus', 'desmognathus', 'species', 'desmognathus ocoee')
('genus', 'desmognathus', 'species', 'desmognathus orestes')
('genus', 'desmognathus', 'species', 'desmognathus organi')
('genus', 'desmognathus', 'species', 'desmognathus planiceps')
('genus', 'desmognathus', 'species', 'desmognathus quadramaculatus')
('genus', 'desmognathus', 'species', 'desmognathus santeetlah')
('genus', 'desmognathus', 'species', 'desmognathus welteri')
('genus', 'desmognathus', 'species', 'desmognathus wrighti')
('genus', 'diadophis', 'species', 'diadophis punctatus')
('genus', 'dicamptodon', 'species', 'dicamptodon aterrimus')
('genus', 'dicamptodon', 'species', 'dicamptodon copei')
('genus', 'dicamptodon', 'species', 'dicamptodon ensatus')
('genus', 'dicamptodon', 'species', 'dicamptodon tenebrosus')
('genus', 'diploglossus', 'species', 'diploglossus pleei')
('genus', 'dipsosaurus', 'species', 'dipsosaurus dorsalis')
('genus', 'drymarchon', 'species', 'drymarchon couperi')
('genus', 'drymarchon', 'species', 'drymarchon melanurus')
('genus', 'drymobius', 'species', 'drymobius margaritiferus')
('genus', 'eleutherodactylus', 'species', 'eleutherodactylus antillensis')
('genus', 'eleutherodactylus', 'species', 'eleutherodactylus brittoni')
('genus', 'eleutherodactylus', 'species', 'eleutherodactylus cochranae')
('genus', 'eleutherodactylus', 'species', 'eleutherodactylus cooki')
('genus', 'eleutherodactylus', 'species', 'eleutherodactylus coqui')
('genus', 'eleutherodactylus', 'species', 'eleutherodactylus cystignathoides')
('genus', 'eleutherodactylus', 'species', 'eleutherodactylus eneidae')
('genus', 'eleutherodactylus', 'species', 'eleutherodactylus gryllus')
('genus', 'eleutherodactylus', 'species', 'eleutherodactylus guttilatus')
('genus', 'eleutherodactylus', 'species', 'eleutherodactylus hedricki')
('genus', 'eleutherodactylus', 'species', 'eleutherodactylus jasperi')
('genus', 'eleutherodactylus', 'species', 'eleutherodactylus juanariveroi')
('genus', 'eleutherodactylus', 'species', 'eleutherodactylus karlschmidti')
('genus', 'eleutherodactylus', 'species', 'eleutherodactylus lentus')
('genus', 'eleutherodactylus', 'species', 'eleutherodactylus locustus')
('genus', 'eleutherodactylus', 'species', 'eleutherodactylus marnockii')
('genus', 'eleutherodactylus', 'species', 'eleutherodactylus martinicensis')
('genus', 'eleutherodactylus', 'species', 'eleutherodactylus monensis')
('genus', 'eleutherodactylus', 'species', 'eleutherodactylus planirostris')
('genus', 'eleutherodactylus', 'species', 'eleutherodactylus portoricensis')
('genus', 'eleutherodactylus', 'species', 'eleutherodactylus richmondi')
('genus', 'eleutherodactylus', 'species', 'eleutherodactylus unicolor')
('genus', 'eleutherodactylus', 'species', 'eleutherodactylus wightmanae')
('genus', 'elgaria', 'species', 'elgaria coerulea')
('genus', 'elgaria', 'species', 'elgaria kingii')
('genus', 'elgaria', 'species', 'elgaria multicarinata')
('genus', 'elgaria', 'species', 'elgaria panamintina')
('genus', 'emoia', 'species', 'emoia cyanura')
('genus', 'emoia', 'species', 'emoia impar')
('genus', 'emydoidea', 'species', 'emydoidea blandingii')
('genus', 'ensatina', 'species', 'ensatina eschscholtzii')
('genus', 'epicrates', 'species', 'epicrates inornatus')
('genus', 'epicrates', 'species', 'epicrates monensis')
('genus', 'eretmochelys', 'species', 'eretmochelys imbricata')
('genus', 'eurycea', 'species', 'eurycea aquatica')
('genus', 'eurycea', 'species', 'eurycea bislineata')
('genus', 'eurycea', 'species', 'eurycea chamberlaini')
('genus', 'eurycea', 'species', 'eurycea chisholmensis')
('genus', 'eurycea', 'species', 'eurycea cirrigera')
('genus', 'eurycea', 'species', 'eurycea guttolineata')
('genus', 'eurycea', 'species', 'eurycea junaluska')
('genus', 'eurycea', 'species', 'eurycea latitans')
('genus', 'eurycea', 'species', 'eurycea longicauda')
('genus', 'eurycea', 'species', 'eurycea lucifuga')
('genus', 'eurycea', 'species', 'eurycea multiplicata')
('genus', 'eurycea', 'species', 'eurycea nana')
('genus', 'eurycea', 'species', 'eurycea naufragia')
('genus', 'eurycea', 'species', 'eurycea neotenes')
('genus', 'eurycea', 'species', 'eurycea pterophila')
('genus', 'eurycea', 'species', 'eurycea quadridigitata')
('genus', 'eurycea', 'species', 'eurycea rathbuni')
('genus', 'eurycea', 'species', 'eurycea robusta')
('genus', 'eurycea', 'species', 'eurycea sosorum')
('genus', 'eurycea', 'species', 'eurycea spelaea')
('genus', 'eurycea', 'species', 'eurycea tonkawae')
('genus', 'eurycea', 'species', 'eurycea tridentifera')
('genus', 'eurycea', 'species', 'eurycea troglodytes')
('genus', 'eurycea', 'species', 'eurycea tynerensis')
('genus', 'eurycea', 'species', 'eurycea waterlooensis')
('genus', 'eurycea', 'species', 'eurycea wilderae')
('genus', 'farancia', 'species', 'farancia abacura')
