('class', 'insecta', 'order', 'diptera')
('genus', 'culex', 'species', 'culex latisquama')
('genus', 'culex', 'species', 'culex minor')
('genus', 'culex', 'species', 'culex mollis')
('genus', 'culex', 'species', 'culex mulrennani')
('genus', 'culex', 'species', 'culex niger')
('genus', 'culex', 'species', 'culex nigripalpus')
('genus', 'culex', 'species', 'culex peccator')
('genus', 'culex', 'species', 'culex pilosus')
('genus', 'culex', 'species', 'culex pipiens')
('genus', 'culex', 'species', 'culex quinquefasciatus')
('genus', 'culex', 'species', 'culex reevesi')
('genus', 'culex', 'species', 'culex restuans')
('genus', 'culex', 'species', 'culex salinarius')
('genus', 'culex', 'species', 'culex sardinerae')
('genus', 'culex', 'species', 'culex secutor')
('genus', 'culex', 'species', 'culex stigmatosoma')
('genus', 'culex', 'species', 'culex taeniopus')
('genus', 'culex', 'species', 'culex tarsalis')
('genus', 'culex', 'species', 'culex territans')
('genus', 'culex', 'species', 'culex thriambus')
('genus', 'culex', 'species', 'culex univittatus')
('genus', 'culiseta', 'species', 'culiseta alaskaensis')
('genus', 'culiseta', 'species', 'culiseta impatiens')
('genus', 'culiseta', 'species', 'culiseta incidens')
('genus', 'culiseta', 'species', 'culiseta inornata')
('genus', 'culiseta', 'species', 'culiseta melanura')
('genus', 'culiseta', 'species', 'culiseta minnesotae')
('genus', 'culiseta', 'species', 'culiseta morsitans')
('genus', 'culiseta', 'species', 'culiseta particeps')
('genus', 'deinocerites', 'species', 'deinocerites cancer')
('genus', 'deinocerites', 'species', 'deinocerites mathesoni')
('genus', 'deinocerites', 'species', 'deinocerites pseudes')
('genus', 'haemagogus', 'species', 'haemagogus equinus')
('genus', 'mansonia', 'species', 'mansonia dyari')
('genus', 'mansonia', 'species', 'mansonia flaveola')
('genus', 'mansonia', 'species', 'mansonia titillans')
('genus', 'mimomyia', 'species', 'mimomyia elegans')
('genus', 'orthopodomyia', 'species', 'orthopodomyia alba')
('genus', 'orthopodomyia', 'species', 'orthopodomyia kummi')
('genus', 'orthopodomyia', 'species', 'orthopodomyia signifera')
('genus', 'psorophora', 'species', 'psorophora ciliata')
('genus', 'psorophora', 'species', 'psorophora columbiae')
('genus', 'psorophora', 'species', 'psorophora confinnis')
('genus', 'psorophora', 'species', 'psorophora cyanescens')
('genus', 'psorophora', 'species', 'psorophora discolor')
('genus', 'psorophora', 'species', 'psorophora ferox')
('genus', 'psorophora', 'species', 'psorophora horrida')
('genus', 'psorophora', 'species', 'psorophora howardii')
('genus', 'psorophora', 'species', 'psorophora infinis')
('genus', 'psorophora', 'species', 'psorophora insularius')
('genus', 'psorophora', 'species', 'psorophora jamaicensis')
('genus', 'psorophora', 'species', 'psorophora johnstonii')
('genus', 'psorophora', 'species', 'psorophora longipalpus')
('genus', 'psorophora', 'species', 'psorophora mathesoni')
('genus', 'psorophora', 'species', 'psorophora mexicana')
('genus', 'psorophora', 'species', 'psorophora pygmaea')
('genus', 'psorophora', 'species', 'psorophora signipennis')
('genus', 'psorophora', 'species', 'psorophora tolteca')
('genus', 'psorophora', 'species', 'psorophora varipes')
('genus', 'toxorhynchites', 'species', 'toxorhynchites amboinensis')
('genus', 'toxorhynchites', 'species', 'toxorhynchites brevipalpis')
('genus', 'toxorhynchites', 'species', 'toxorhynchites moctezuma')
('genus', 'toxorhynchites', 'species', 'toxorhynchites portoricensis')
('genus', 'toxorhynchites', 'species', 'toxorhynchites rutilus')
('genus', 'toxorhynchites', 'species', 'toxorhynchites splendens')
('genus', 'uranotaenia', 'species', 'uranotaenia anhydor')
('genus', 'uranotaenia', 'species', 'uranotaenia cooki')
('genus', 'uranotaenia', 'species', 'uranotaenia lowii')
('genus', 'uranotaenia', 'species', 'uranotaenia sapphirina')
('genus', 'uranotaenia', 'species', 'uranotaenia socialis')
('genus', 'wyeomyia', 'species', 'wyeomyia medioalbipes')
('genus', 'wyeomyia', 'species', 'wyeomyia mitchellii')
('genus', 'wyeomyia', 'species', 'wyeomyia smithii')
('genus', 'wyeomyia', 'species', 'wyeomyia splendida')
('genus', 'wyeomyia', 'species', 'wyeomyia vanduzeei')
('kingdom', 'animalia', 'phylum', 'arthropoda')
('order', 'diptera', 'family', 'culicidae')
('phylum', 'arthropoda', 'class', 'insecta')
